순서,용어명,내용
20,"Balance of Plant ,BOP","연료전지의 코어설비인 스택(stack) 이외의 주변에 있는 동력시스템 패키지를 구성하는 보조 장치(열관리시스템, 물관리시스템, 공기공급장치 등)"
21,"Battery to Grid,B2G","전기자동차의 1/3에 해당하는 배터리 가격부담을 덜고, 배터리 수명과 충전에 대한 불안감을 해소하기 위한 전기차 배터리 리스사업의 일환"
22,"Binder Jetting,BJ",3D 프린팅의 방식 중 하나로 노즐을 통해 액체 형태의 잉크가 경화물질에 분사/증착되어 화학 반응에 의해 적층되는 방식이다.
23,"Biomass-Solid Refuse Fuel ,Bio-SRF","폐지류, 농업폐기물(쌀겨, 옥수수대 등 농작물의 부산물), 폐목재류, 식물성잔재류, 초본류 폐기물을 혼합하여 제조한 바이오 고형연료 제품"
24,"Booster Air Compressor ,BAC",IGCC MAC(Main Air Compressor) 후단에서 설치되어 공기정화계통에서 정화된 공기를 재압축하는 압축기로 주로 생성가스의 압축 방식이 내부승압 방식인 경우 사용된다.
25,Brim,3D 프린팅 관련 물체가 제작판에 좀 더 잘 붙도록 하기 위해 첫번째 층을 약간 두겁하는데 이 추가적 두께를 말한다
26,"British Thermal Unit,BTU",열량을 나타내는 단위의 하나로 1BTU=252cal
27,"B종절연 (B種 絶緣, Class B Insulation)","최고허용온도 130℃에 충분히 견딜 수 있는 재료로 구성된 절연. 마이카, 석면, 유리 섬유 등을 접착재료와 함께 사용한 것이다."
28,C40 세계 도시 기후 정상회의,"전 세계 온실가스 배출량 중 80% 내외를 차지하는 대도시들이 전 세계 기후변화에 공동 대응하며, 온실가스 감축의 구체적인 방안 마련을 목적으로 결성. 2005년 런던에서 18개 대도시 모임으로 시작됐으며 2009년 서울에서 3회째 정상회의가 열림. 회의는 2년마다 개최됨."
29,"CA열전대 (CA熱傳帶, CA Thermocouple)",+극에 크로멜(니켈과 크롬의 합금)과 -극에 알루멜(알루미늄과 니켈망간의 합금)으로 구성된 열전대로 K TYPE이라 한다. 상용한도는 1000℃까지이며 기전력이 높고 값이 싸므로 많이 사용된다.
30,"CCD 카메라(charge-coupled device camera,CCD camera)","디지털 카메라의 하나로, 전하 결합 소자(CCD)를 사용하여 영상을 전기 신호로 변환함으로써 디지털 데이터로 플래시 메모리 등의 기억 매체에 저장하는 장치. CMOS형 카메라보다는 화질이 우수하나 전력 소모와 가격 면에서 불리하다."
31,"CC열전대 (CC熱傳帶, CC Thermocouple)",+극에 구리(CU)-극에 콘스탄탄(동니켈의 합금)으로 구성된 열전대 T TYPE이라 한다. 상용한도는 300℃까지이며 기전력이 안정되고 직선성에 있으며 비교적 저온 측정에 이용된다.
32,"CGS단위 (CGS單位, Centimeter-Gram-Second Unit)","미터법의 절대단위이며 길이에 cm, 질량에 g, 시간에 sec를 기준단위로 하는 절대 단위계이다."
33,"CMOS 이미지 센서(CMOS image sensor,CIS)","상보성 금속 산화물 반도체(CMOS) 구조를 가진 저소비 전력형의 촬상 소자. 전하 결합 소자(CCD)에 비해 약 10분의 1의 소비 전력, 3.3V 단일 전원, 주변 회로와의 일체화도 가능하다. CCD보다 감도는 떨어지지만 최근에는 화질이 많이 개선되어 휴대 전화는 물론 고해상도 디지털 카메라나 자동차 후방 감시 카메라 등에도 광범위하게 사용되고 있다"
34,CO2 광물화 기술,칼슘이나 마그네슘이 포함된 천연광물 또는 산업체에서 배출되는 각종 폐기물과 CO2를 반영시켜 탄산칼슘이나 탄산마그네슘 형태로 안정하게 고정화시키는 기술
35,CO2 연료화 기술,이산화탄소와 물의 역수성가스화반응을 통하여 합성가스를 생산하는 등 이산화탄소를 활용하여 연료를 생산하는 기술의 총칭
36,CO2 천층 지중저장기술,CO2 포집 이후 압축 수송하여 해양 천층 퇴적층에 저장하고 유지관리하는 기술
37,CO2 해양저장기술,이산화탄소를 석회석 또는 생석회와 반응을 통해 안정한 중탄산이온(HCO3-)으로 변환하여 심해에 장지적으로 저장
38,CPC형 집열기(Compound Parabolic Collector ),PTC형 집열형태를 가진 모듈을 여러개 합쳐놓은 형태의 집열기로 300℃이하의 중온용 집열 시스템에 사용
39,Cenosphere,Fly Ash 중 내부가 CO2나 N2 가스로 채워져 수면에 부유하는 물체로 무게는 가볍고 발생량은 Fly Ash 전 중량의 약 5% 정도 발생되고 입격은 20~30um 정도임
40,"ConocoPhillips,CoP",미국의 종합 에너지회사로 2단 가스화 기술인 E-GasTM의 특허 소유
41,"Cost, Insurance and Freight,CIF","수출입 상품의 비용 및 선적시부터 도착시 까지의 운임, 보험료를 포함한 가격을 말하며 공급자가 운임, 보험료를 전부 부담하는 무역거래 조건의 하나."
42,"C접점/절체접점 (C 接點/絶體接點, Changer-Over Contact(C-Contact))",서로 공통된 접점단자를 갖는 A접점/B접점을 일괄하여 C접점이라 한다. 동작시에는 먼저 Break 접점이 Open하고 이어서 Make 접점이 Close하는 계전기나 전원 등의 접점 조합을 말한다.
43,"C종절연 (C種 絶緣, Class-C Insulation)","허용최고온도 180℃ 초과 온도에 충분히 견딜 수 있는 재료로 구성된 절연. 마이카, 석면, 자기 등을 단독으로 사용한 것 또는 접착 재료와 함께 사용한 것을 말한다."
44,"DLL 파일(Dynamic linking library,DLL)","OS/2, 윈도즈 등의 운영 체계(OS) 본래 기능으로 소프트웨어의 루틴을 몇 개의 파일로 나누어 디스크에 두고 필요한 것만을 실형 메모리에 실어서 사용하기 위한 파일. DLL로 사용되는 파일은 확장자가 ‘dll’로 되어 있기 때문에 ‘DLL 파일’이라고 부른다. DLL의 장점은 루틴을 공통으로 사용하는 것이다. 루틴의 함수 집단을 자료집(library)이라 하는데, 보통 실행 파일을 작성할 때 자료집을 포함해서 컴파일하는 경우가 많다. 그러나 이 방법은 동일 루틴을 다수의 실행 파일이 갖는 것으로 되어 비효율적이다. DLL은 다수의 실행 파일에 공유될 수 있기 때문에 디스크 용량이나 메모리를 절약할 수 있다. 또 프로그램을 수정하려는 경우, DLL 파일만을 수정함으로써 완료되는 경우도 있다. 윈도즈 등에서는 OS 기능은 물론 DLL을 애플리케이션과 공유할 수도 있으며, DLL 파일 등의 애플리케이션이 공유되고 있는 것은 이용이자 수준에서 판단하기는 어렵다."
45,DLN,저 Nox 연소기로 예혼합 연소 방식이다. 신형 가스터빈의 경우 15% O2 조건에서 Nox 15 혹은 25ppm 이하의 배출량을 만족한다.
46,"Di-Methyl-Ether,DME","천연가스로부터 출발하여 얻어지는 화합물로서 디메틸 설페이트, 고가의 산소결합 화합물 등의 중요한 화학제품을 제조하는데 중간체로 사용되어 왔으나 최근의 DME의 환경친화적 성질로 인하여 오존층 파괴의 주범인 CFC를 대체하여 헤어스프레이, 면도크림 등의 에어로졸 분사제로서 사용되고 있음. 지금까지 DME의 사용량은 그리 대단한 것은 아니었으나 최근에 DME가 디젤엔진의 대체 청정연료로 사용이 가능하다는 것이 알려지면서 가까운 미래에 DME가 청정연료로서 크게 활용될 것으로 예측됨."
47,"Dimethyl ether,DME","가장 간단한 지방족 에테르류. 메틸에테르라고도 하며 분자식은 C2H6O. 일반적으로 메탄올이 탈수반응을 거쳐 생성되지만, 석탄에서 얻어지는 합성가스와 천연가스로부터 DME 생산이 가능. 최근 수송 에너지로서 각광을 받고 있는데, 특히 수송 연료의 관점에서 DME 활용은 기존의 가솔린과 디젤 연료에 비해 질소산화물과 미탄화수소의 배출가스가 현저히 낮게 배출되어 새로운 ULEV (Ultra Low Emission Vehicle)의 환경 규제치를 만족할 수 있기 때문에 청정 에너지중의 하나로 거론되고 있음"
48,"Dry Solids Removal or Flyash Removal,DSR",합성가스 중의 Ash 성분을 제거하기 위한 설비로 Ceramic Filter 및 제거된 Ash를 배출하기 위한 Lock Hopper 및 Sluicing System으로 구성된다. 고온가스 냉각기 출구가스는 고압·고온필터를 거쳐 잔류 Ash 성분 및 할로겐족 화합물 제거를 위해 Wet Scrubber로 공급된다.
49,ESS 배터리 (Energy Storage System Battery ),"에너지밀도와 효율이 높고 국내 대기업이 경쟁력을 갖고 있는 리튬이온 전지가 대표적이며 이밖에도 레독스 흐름 전지(RFB), 나트륨황 전지(NaS) 등이 개발되고 있다."
50,ETA (Event Tree Analysis),"안전분석방법의 하나. 사고의 발단이 되는 사상(事象)을 초기사상이라고 한다. 이에 관련된 기계설비의 각 부분이나 작업공정의 각 단체에서 안전기능이 어떻게 후속하고 일련의 기능에 영향을 주는가에 착안하여 전후의 순서를 정하고, 그 기능(예컨대 작동, 연속운전, 전환, 이상으로부터의 회복 등)을 성공과 실패로 나누어 수목상(樹木狀)으로 전개하여 각가지의 발생확률을 정함으로써 발생위험이 있는 사고, 재해의 종류와 그 발생확률을 구하는 것이다. FTA(Fault Tree Analysis)가 결과로서의 사고, 재해를 상정해서 거기서부터 원인과 요인을 추구해가는데 대하여 분석의 방향이 반대이며, 이로서 처음에는 상정할 수 없었던 형태의 재래도 척출할 수 있다. FMEA(Failure Mode and Effect Analysis)는 방향은 같지만 고장모드(Failure Mode)에서 바로 그 영향(결과)으로 옮겨지는데 대하여 ETA는 초기사상인 고장모드에서 사고, 재해로 발전해 가는 과정이다. 시퀸스(Sequence)에 초점을 맞추고 있는데 특징이 있다. 복잡한 시스템에서 중대재해가 발생할 우려가 있는 것에 대하여는 ETA와 FTA의 분석을 병행할 필요가 있다."
51,"Equipment Data/Requisition Sheet,EDRS",각 기기별 기술규격서 작성 또는 구매를 위해 기기별 주요 사양을 명시한 양식
52,"Equipment Design Case,EDC",가스화기 단위 기기 설계시 고려되어져야 하는 조건으로 저품질의 석탄을 100% 부하에서 운전되는 조건
53,"E종절연 (E種絶緣, Class E Insulation)",최고 허용온도 120℃ 에 충분히 견딜 수 있는 재료로 구성된 절연을 말한다.
54,FMEA (Failure Mode And Effect Analysis),"고장모드(Mode)와 영향분석이라고 한다. 기계, 설비, 시스템 등의 신뢰성의 문제점을 설계의 단계에서 안전을 예측하는 방법이다. 기계, 설비, 시스템 등을 구성하는 각각의 구성요소에 대해서 일어날 수 있는 모든 고장이나 재해의 형태를 상정하여 그 원인을 추정하고 그것이 기계, 설비, 시스템 그리고 인간에 대하여 미치는 영향을 검토하여 표형식을 사용해서 계통적으로 해석하는 방법이다. 최종적으로는 이러한 검토결과에서 치명적인 영향을 미치는 것을 검출해서 일람표를 작성하여 설계심사, 설계변경 등의 자료로 사용한다. 작성하는데는 각각의 구성요소의 전문적인 지식과 경험을 필요로 하며, 각 전문분야의 기술자 그룹에 의해서 실시된다. 또한 전자계부품처럼 고장율이 알려져 있는 것에 대해서는 정량적인 비교평가를 하기 위한 치명도해석(CA)을 실시할 수 있다. 이 방법을 FMECA(Falure Mode Effect and Criticality Analysis)라고 한다."
55,FTA (Fault Tree Analysis),"결함관련수법이라고도 한다. 고장 또는 재해가 일어났을 경우 그것이 어떠한 결함에 의해서 초래되었는가를 순차적으로 파내려가는 방법으로서 하나의 결함이 몇 가지의 결함에 의해서 야기되기 때문에 이 방식으로 분석을 해나가면 최종적으로 나무와 같은 그림으로 되기 때문에 이와 같이 불리운다. 기계, 설비, 시스템 등에 대해서 고장이나 재해의 발생요인을 약속된 기호에 의하여 논리적 형식으로 해석하는 방법이다. 발생요인을 추구하려고 하는 고장이나 재해를 주제로 하여 발생하기 쉬운 원인과 조건을 상부의 레벨에서부터 하부의 레벨로 향해서 나뭇가지가 뻗듯이 차례로 검토하여 논리도 형식으로 표현한다. 원인과 조건에 대해서는 기계, 설비, 시스템 등의 구성 요소의 결함, 인간의 미스, 소프트웨어의 트러블, 환경조건의 영향 등을 표현할 수 있다. 또한 최종적인 원인과 조건의 발생확률이 전부 구해지는 경우에는 그 고장 또는 재해가 발생하는 확률을 구할 수 있다."
56,"Feed & Effluent Heat Exchanger,FEHX","열교환기란 어떤 유체가 가지고 있는 열에너지를 전도, 대류 및 복사의 열전달 원리를 이용하여 다른 유체에 전달할 수 있도록 제작 설치한 열교환 장치이며, FEHX는 어떤 Unit으로 공급 및 배출되는 유체를 상호 열교환하여 냉각 및 가열하는 장치"
57,"Fisher Tropsh,F-T","석탄으로부터 제조된 합성가스를 이용하여 액체 연료물질을 제조하는 공정(CTL, Coal to Liquid)으로 1925년 독일의 Fischer 와 Tropsh에 의해 처음 특허로 등록된 합성석유의 제조를 들 수 있으며, 1930년부터 상용화되어 개발자의 이름을 따서 Fisher-Tropsh(F-T) 공정이라 명명되었다. 이 공정을 통해 얻어진 합성유는 upgrading 공정을 통하여 자동차 연료인 디젤유, 가솔린 또는 왁스 등을 제조하였으며, 2차 세계대전시 독일에서는 총 27개 공장에서 연 400만톤의 연료를 생산하였으며, 1950년 후반부터 남아공의 Sasol사에서 상용화하여 현재까지 일일 15만 배럴의 연료를 생산하고 있다."
58,Fuel Gas Compresser,한국가스공사에서 공급하는 가스망의 압력과 최신 가스터빈의 입구 요구 압력차에 의해 압력을 상승시켜줄 필요가 있어 설치되는 설비. 회전하는 임펠러에 의하여 기체에 원심력을 주고 이것을 이용하여 압축을 작용한다. 기체에 압력을 부여하기 위해 압축부와 회전력의 전달을 위한 구동부 그리고 구동부의 원활한 운동을 위하여 오일을 공급하는 윤활부로 이루어져 있다.
59,"Gasifier Membrane Wall,GMW",가스화기 내부의 1500℃ 이상의 생성가스의 열손실을 방지하기 위하여 가스화기 외벽에 수관형식의 Membrane Wall이 설치되어 Tube로 급수가 흐르면서 증기를 생산한다. 공급 급수압력은 가스화기의 건전성을 위하여 가스화기 운전압력보다 약 10 kg/cm2 이상으로 운전되어야 한다.
60,Guard Bed,촉매를 이용한 주 반응기(MainReactor)로 합성가스를 유입시키기 전 합성가스 내에 포함되어 있는 dust 성분을 제거하기 위한 장치. 이는 dust를 통한 주 반응기의 촉매 pore를 막아 활성이 저하되는 것을 방지하여 안정적인 운전이 되도록 도와주는 역할을 한다.
61,HCN/COS 가수분해 설비(HCN/COS Hydrolysis Unit),Syngas내에 포함된 HCN 및 COS 성분을 촉매반응을 통하여 후단공정인 AGR에서 처리가 용이한 성분으로 가수분해하기 위한 계통이다. HCN 가수분해 촉매는 AGR 공정의 Solvent(용매)의 Degradation을 방지하기 위하여 HCN을 NH3로 가수분해하는 역할을 수행한다. COS 가수분해 촉매는 Gas Turbine 입구에서 요구되는 Total Sulfur의 농도 및 대기로의 SOx 배출을 최소화하기 위하여 COS를 AGR에서 흡수율이 더 높은 H2S 로 가수분해하는 역할을 수행한다.
62,"Heat Stable Salts,HSS","AGR 공정에서 용매로 사용되는 Amine을 더 이상 열을 가해도 재생이 되지 않는 안정적인 상태의 화합물을 의미한다. 이는 산성가스 속에 포함된 산성물질(중화제)과의 반응을 통하여 생성된다. formate, acetate, thiosulfate, thiocyanate, chloride 등과 같은 산성을 띠는 화합물의 경우 Amine과 반응하여 HSS를 생성한다."
63,Hepa Filter,High-efficiency particulate arrestance ( HEPA )는 고효율 미립자 체포 또는 고효율 미립자 공기의 형태인 에어 필터이고 무작위 배치된 섬유 매트이다. 섬유는 일반적으로 구성되는 유리 섬유 는 0.5 및 2.0 사이의 직경을 가지고 있다. MHI의 에어필터의 경우 Double Layer로 되어 있고 97%의 효율을 갖는다.
64,I-S선도/모리에선도 (Mollier Diagram/Mollier Chart/I-S Diagram),"물, 암모니아 프레온 등의 증기의 열적상태를 쉽게 알 수 있게 여러가지 온도, 압력, 건조도 등에 따라 그 증기의 압력, 온도, 엔탈피, 엔트로피, 비체적 등을 표시한 선도이다. 종축에 엔탈피를 횡축에 엔트로피를 기준좌표로 취하고 각 상태에서의 증기의 온도, 압력 및 비체적과 포화증기의 건도를 선으로 연결하여 도시한 증기선도로 1904년 독일의 모리에교수의 제안에 의해 작성되었으므로 Mollier 선도라고도 한다. 단열변화가 수직선으로 표시되어 팽창과정에서의 열량을 선도상 수직거리로 나타낸다."
65,"IP 주소(IP address,IPA)","글로벌한 인터넷상에서 네트워크에 연결되어 있는 특정 디바이스의 인터페이스에 대한 유일한 식별자(identifier)이며, 디바이스의 위치를 나타내는 식별자(locator) 역할을 하는 주소. 송수신 IP 데이터그램의 헤드 부분에 지정되며, IP버전 4(IPv4)에서는 32비트, IP 버전 6(IPv6)에서는 128비트로 구성된다. IPv4에서 주소는 32비트의 2진수 형태이며, 0~255 범위의 4개의 숫자와 마침표로도 표기된다(예:211.244. 110.000). 전 세계 IP 주소는 미국의 Inter NIC이 총괄 관리하고, 우리나라는 한국 인터넷 정보 센터(KRNIC)가 Inter NIC으로부터 주소를 할당받아 관리하고 있다. IPv4의 주소는 네트워크 설계 시 융통성을 부여하기 위해 네트워크 주소와 네트워크 내의 주 컴퓨터 주소로 나누어지며, 주 주소의 길이에 따라 클래스 A, B, C의 3종류로 나누어진다. IPv6는 IPv4 주소의 부족과 기능 및 성능을 개선한 차세대IP 주소 규격이다."
66,IPv4/IPv6 연동,"IPv4 망에서 IPv6 망으로 자연스럽게 진화기키기 위한 전환(transition) 기술. IPv4/IPv6 전환기술을 크게 나누면 듀얼스택(dual stack)기술, 터널링(tunneling) 기술, 변환(translation) 기술 세가지로 분류할 수 있다. 듀얼스택 기술은 하나의 시스템(호스트 또는 라우터)에서 IPv4와 IPv6를 동시에 처리하는 기술이고, 터널링 기술은 기존 IPv4 망을 전달망으로 사용해 섬처럼 서로 떨어져 있는 IPv6 망들을 연결시켜 주는 기술이며, 변환기술은 IPv4 망과 IPv6 망 사이의 연동기술로 IPv6 클라이언트가 IPv4 서버에 접속할 때 또는 IPv4 클라이언트가 IPv6 서버에 접속할 때 사용된다"
67,ISO (International Organization for Standar- dization),국제표준화기구로서 스위스 제네바에 본부를 두고 있으며 상품과 서비스의 용이한 교역을 위한 국제적 규격 개발을 위해 1946년 설립하였음이다.
68,ISO 14001,환경경영시스템 사용지침 - 조직의 생산활동이 환경에 미치는 영향을 최소화하기 위하여 조직의 환경관리체제와 관리 결과를 평가하고 지속적 개발에 기여하는 환경관리 기술에 대한 지침들을 정한 규격이다.
69,ISO 9001,"품질경영시스템 요구사항에 대한 규격 설계/개발, 생산, 설치 및 서비스를 포함하는 여러 단계에의 규정된 요건에의 적합성이 조직에 의해 보증되어져야 할 때 사용한다."
70,"ISO(독립계통운영자) (獨立系統運營者, Indepen- dent System Operator)","전력거래 시장의 한 형태인 탁송시스템의 문제점을 보완하기 위한 방안으로 설립되는 독립된 계통운용자. 정해진 규칙(Pool Rule)에 따라 발전소급전지시, 계통의 안정도 및 신뢰도 유지 등 계통의 안정운용을 수행한다."
71,Just In Time,"원자재 또는 부품이 필요할 때, 정확한 시간에 원자재 또는 부품을 생산라인에 도착하도록 운반하는 시스템을 말한다. 도요타가 개발한 JIT는 비생산적 재고 관련 비용의 발생을 막기 위해 재고를 최소화하거나 제거하는데 그 목적이 있으며 생산은 Pull System을 사용한다. Pull System에서는 제품을 생산할 필요가 있을 때까지 자재는 공급될 수 없다. 효율적인 JIT시스템은 모든 회사 기능들이 구매, 제조, 마케팅 및 판매활동 속에서 조화를 이루며, 경쟁력은 짧은 시간 내에, 요구된 양만큼, 요구된 제품을 시장에 내 놓을 수 있는 회사의 능력에 기인한다. 비 부가가치 비용을 피함으로써 가격 경쟁력 또한 얻을 수 있다. 개념은 간단해 보이지만 실제 적용은 매우 복잡하고, 관련 사항이 다양하고 광범위하다."
72,KVS,표의 내부값(Value)과 값끼리의 연결(Key) 형태로 데이터를 처리한다. 비구조화 데이터를 포함해 대규모 데이터를 분석 처리하는데 편리함
73,"MHD발전 (MHD發電, Magneto Hydro Dynamic Electrical Power Generation)","MHD발전은 자장 속을 유체가 운동을 하면 자장의 방향 및 유체의 운동방향과 각각 직각이 되는 방향으로 전류가 발생하는 패러데이의 전자유도법칙을 응용한 것으로, 전기전도성 유체(이온화 가스 또는 액체금속)를 강한 자장이 걸린 유체관 속으로 고속으로 통과시켜 작동가스에 생기는 초전력으로 전기에너지를 얻는 발전방식 이다. MHD발전은 작동유체에 따라 연소 MHD발전(작동유체가 화석연료 등의 고온 연소가스), 액체금속 MHD발전(작동유체가 나트륨, 칼륨 등의 금속), 비평형 MHD발전(작동유체가 헬륨, 아르곤 등의 희가스)으로 분류할 수 있다. MHD발전은 석탄과 같은 화석연료를 사용하며, 증기터빈 발전과의 복합발전이 가능하여 발전효율면에서나 용량면에서 기존의 화력발전소를 대체할 수 있는 새로운 발전기술이다."
74,N-헥산 추출물 (N-헥산 抽出物),수중의 유분을 조사하기 위하여 N-헥산으로 추출하고 증발 건조시키는 조사를 하게 된다. 증발 건조시에 남은 잔류물의 중량을 측정하는 것이다.
75,"NFC(근거리 무선통신)(近距離 無線通信,near field communication,NFC)","근거리 무선 통신(Near Field Communication, NFC)은 RFID 기술 중 하나로 13.56MHz의 주파수 대역을 사용하는 비접촉식 통신 기술이다. 10cm 이내의 아주 가까운 거리의 무선 통신을 하기 위한 기술로 2016년 현재 지원되는 데이터 통신 속도는 424Kbps다. 통신거리가 짧기 때문에 상대적으로 보안이 우수하고 가격이 저렴하여 차세대 근거리 통신 기술로서 주목받고 있다. 블루투스나 지그비 등 경쟁기술에 비해 보안성과 편의성이 뛰어나다. 데이터 읽기와 쓰기 기능을 모두 사용할 수 있으며 교통요금, 티켓요금, 수퍼마켓이나 일반 상점등에서의 요금지불 뿐 아니라 여행 정보 전송이나 출입통제 잠금장치 등 일상 생활의 여러 서비스에서 사용할 수 있어 적용 범위가 광범위하다."
