발전용어(한글명),발전용어(한문명_영문명),내용
냉각재 ,"冷却材, Coolant","원자로에서 핵분열에 의해 발생하는 열에너지를 노심으로부터 노 외로 끄집어내기 위한 물질을 말한다. 냉각재는 원자로에 장전된 핵연료 집합체들이 모여 있는 연료봉 바깥을 통과하여 흐르면서 핵연료와의 열전달을 통해 열을 흡수하여 원자로의 온도를 일정수준으로 유지하는 한편, 흡수한 열을 증기발생기와 열교환 등을 통하여 외부로 전달한다.냉각재로는 경수(경수로), 중수(중수로), 나트륨 등의 액체나 탄산가스 등의 기체가 사용되며 냉각재는 정상운전 중에는 열에너지의 운반 및 원자로의 온도 유지가 중요한 기능이지만, 사고 시에는 원자로가 과열되지 않도록 원자로를 비상시 냉각시키는 기능을 한다."
내화구조 ,"耐火構造, Fireproof Construction",화재가 발생했을 경우 구조물에는 불연성 이외에 열에 의한 파손과 도괴의 피해확대를 방지하기 위해 내화성능이 요구된다. 화재에 대하여 일정시간동안 내화성능을 갖는 구조를 내화구조라고 한다. 내화구조는 오랜 시간동안 화재에 견디는 것으로 화재 후에도 작은 수리에 의해서 재사용할 수 있는 것이어야 한다. 화학플랜트 등의 지지구조물에 대한 내화구조는 위험물질의 성질이나 양 등을 고려하여 내화시간을 결정해야 한다. 그 때문에 철골에 적절한 내화피복의 실시가 요구된다.
노내퍼지 ,"爐內퍼지, Furnace Purge",보일러 점화전이나 소화 후 노내에 잔류한 미연가스에 의한 폭발을 방지하기 위하여 노내의 가스를 배출시키는 것이다.
노즐플래퍼기구 ,"노즐플래퍼器具, Nozzle Flapper Device",공기식 계기에 사용되는 기본 기계기구로서 노즐과 플래퍼사이의 간격으로 공기압 출력을 조절한다. 즉 변위-공기압 변환장치이다.
누설변압기 ,"漏泄變壓器, Leakage Transformer","누설 리액턴스가 커서, 부하 전류 증가와 동시에 출력 단자간 전압이 감소하는 수하 특성을 가지고 있는 변압기로서, 방전관의 점등용 변압기 등에 사용된다. 또 누설 자속을 조정하여 부하에 관계없이 일정 전류를 공급하는 정전류 변압기를 만들 수 있다. "
내화물 ,"耐火物, Refractories","일반적으로 고온가열용의 기재로 사용되는 물질로서 고온에 견디며, 화학적으로 안정된 무기화합물재료를 말한다. 건축에서 말하는 화재에 견디는 내화재료가 아니라 적어도 1000℃이상의 고온에서 연화(軟化)하지 않고, 강도를 충분히 유지하며, 화학적 작용에도 견딜 수 있는 재료로서 한국공업규격(KS)에 의한 내화도측정법에서 SK26(1,580℃에 해당) 이상의 내화도를 가진 것을 말한다. 대표적인 내화물은 내화벽돌로서 철강관계의 노재(爐材)나 요업의 축로재료 등에 사용된다."
다축형가스터빈 ,"多軸型가스터빈, Multi-Shaft Gas Turbine",터빈이 2축 이상으로 나누어져 있어 이들이 각각 기계적으로 독립된 회전축으로 되어 있는 가스터빈으로 이축형의 경우 터빈이 고압터빈과 저압터빈으로 분리되어 있고 고압터빈은 압축기를 돌려주고 저압터빈은 발전기를 돌려준다. 일축형 가스터빈보다 구조가 복잡하나 소형 경량화가 가능하고 저출력시는 압축기 회전속도를 낮출 수 있어 부분부하시 효율저하가 적다.
단락보호 ,"短絡保護, Short Circuit Protection",단락고장이란 정상운전상태에서 도체간 전위가 서로 다른 전기회로가 상호 접촉되는 고장을 말하며 합선(合線)이라고도 한다. 예를 들어 가정집에서 사용하는 전선이 상호 접촉되는 경우가 이에 해당한다. 전기회로에 단락고장이 발생하면 전류가 크게 증가하게 되고 이는 열을 발생시켜 설비손상 또는 화재의 원인이 되기도 한다. 따라서 고장이 발생하면 가능한 신속하게 고장을 검출하여 고장부위를 정상적인 전기회로로 부터 분리해야 하며 이러한 전기회로의 비정상 상태를 제거하기 위해 설치하는 장치를 보호장치라 한다. 단락보호장치의 종류로는 과전류계전기(OCR)에서 거리계전기에 이르기까지 보호대상에 따라 다양한 종류 있다
단열팽창 ,"斷熱膨脹, Adiabatic Expansion",유체가 외부와 열의 교환이 없이 팽창되는 것을 말하며 팽창전후 유체의 상태 변화과정은 엔트로피가 일정한 가역과정으로 된다.
단열효율 ,"斷熱效率, Adiabatic Efficiency/Isen- tropic Efficiency",이상적 단열과정에서의 일과 실제과정에서의 일의 비를 나타낸 것으로 다음 식으로 표현할 수 이다. 단열 압축효율=이상적 단열압축에 필요한 일/실제압축에 필요한 일 단열팽창효율=실제팽창시의 일/이상적 단열팽창시의 일이다.
데포지트 ,Deposit,전열면의 내외면에 불순물 또는 연소 생성물이 부착 성장한 것을 말한다.
"동점성계수, 동점도 ","動粘性係數, 動粘度, Kinematic Viscosity, Coefficient of Kinematic Viscosity","유체의 점성계수를 그 유체의 밀도로 나눈값이다 단위로는 ㎡/s, ㎠/s 등이 쓰이며 특히 ㎠/s를 TOKES(ST)라 하여 많이 쓰인다. "
등증분연료비운전 ,"等增分燃料費運轉, Equal Increment Fuel Cost Operation",화력계통에 있어서 각 화력발전기의 증분 발전비용이 같게 되도록 각 발전기출력을 배분해 주면 가장 경제적인 부하 배분이 된다는 것으로 이와같이 중분연료비가 균등하게 운전하는 것을 등증분 연료비운전이라 한다.
드레인탱크/응축수탱크 ,"凝縮水탱크, Drain Tank",각 계통으로 부터 발생하는 응축수를 한 곳에 모은 탱크이다.
등맞대기형압축기 ,"등맞대기形壓縮機, Back To Back Type Compressor",다단 원심압축기에서 임펠러가 직렬로 등을 맞댄 구조이다.
등속흡입 ,"等屬吸入, Equal Velocity Aspiration",함진가스 중의 Dust를 균일하게 시료로 채취하기 위하여 흡입가스 속도를 함진가스 속도와 같게 흡인 하는 것이다.
로드쉐딩 ,"負荷遮斷, Load Shedding",전기는 저장이 어렵고 비경제적이므로 수요와 공급이 항상 일치되어야 한다. 그러나 전력수요의 증가 또는 공급능력의 감소로 인하여 수급에 불균형이 발생할 경우 전력계통의 주파수가 저하되고 이러한 상태가 심화되면 계통전체에 정전을 초래할 수 있다. 이와 같은 현상을 방지하기 위하여 공급능력에 상응한 수준으로 전력수요를 감소시키기 위하여 적정량의 부하를 차단하는 것을 로드쉐딩이라고 한다. 
로타리버너 ,"Rotary Burner, Spinning Cup Burner","고속으로 회전하는 컵의 안쪽으로부터 기름을 공급하고, 얇은 박상으로 분산되는 기름을 컵 주위로부터 분출하는 1차공기에 의해 무화하는 버너. "
리베팅임펠러 ,Riveting Inpeller,"블레이드와 주관, 측관 또는 허브를 리베팅으로 연결시킨 임펠러를 말한다."
로터리씰,Rotary Seal,석탄 슈트의 도중에 설치되어 역류를 방지하는 장치이다.
록너트,Lock Nut,보통 볼트는 한개의 너트로 죄는데 진동 등으로 이완되는 곳에서는 이를 방지하기 위해 두개의 너트를 사용하며 이때 아래쪽에 끼우는 높이가 다소 낮은 Nut를 말하며 Check Nut라고도 한다.
록아웃,Lockout,"회로나 장비를 비활성화 시키는 동작으로 록아웃은 회로나 장비가 누가, 언제, 왜 락아웃했는지를 나타내는 레드태그나 맹꽁이자물쇠와 같은 록킹 장비의 사용을 포함한다."
롤백,RollBack,프로그램에 의하여 바로직전에 취해진 체크포인트로 되돌아오는 것이다.
리프트체크밸브,Lift Check Valve,밸브디스크가 밸브몸통 또는 카버에 만들어진 안내(Guide)에 의하여 밸브시트에 대하여 수직으로 작동하는 체크 밸브를 말한다.
리프트콕,Lift Cock,마개의 회전뿐만 아니라 마개를 들어올려 토크의 감소를 도모하는 기구를 가지는 콕이다.
마모 ,"磨耗, Wear, Abrasion","마찰하여 닳는 현상이며 재료의 조합, 미끄럼 속도, 온도, 윤활의 정도에 따라 마모속도가 정해진다."
매설지선 ,"埋設地線, Counter Poise","송전선로의 철탑 혹은 가공지선이 직격뇌를 받게 되면 뇌전류가 철탑의 다리를 통해서 대지로 흐르게 된다. 이때 접지저항 및 철탑재의 저항에 의해서 철탑암부 등의 전위가 상승, 철탑과 전선사이에 섬락이 일어난다. 이를 역섬락이라고 한다. 이 역섬락 현상은 뇌전류와 철탑다리 접지저항치와의 곱에 비례하므로 역섬락 사고를 방지하기 위해서는 접지저항을 경감시켜야 된다. 이 접지저항을 저감시키기 위해서는 지표면에서 30～50[㎝]정도 깊이에 직경 2.6[㎜], 7가닥으로 구성된 아연도철연선을 지표면에 따라 시설한다. 이것을 매설지선이라 한다."
메인이젝터 ,Main Ejector,복수기 진공도 유지를 위하여 연속적으로 항시 운전되는 공기추출기로 추출용량은 작으나 고진공을 형성시켜야 하므로 2단 또는 3단 증기 분출방식으로 되어 있다.
몰드변압기 ,"몰드變壓器, Mold Transformer","몰드변압기는 권선을 난연성의 Epoxy 수지로 함침 또는 주형된 고체절연 방식을 채택하고있어 환경오염방지 및 난연성, 자기소화성을 가지고 있어 화재발생 가능성을 최소화한 변압기"
무구속속도 ,"無拘束速度, Runaway Speed","어떤 유효낙차, 베인개도 및 흡출높이에서 운전중인 수차의 발전기 부하를 제거하면 수차 및 발전기의 기계 손실과 균형잡힌 출력으로 런너의 회전수는 최대로 된다. 이 값을 무구속도 NR이라 부르고 수차 및 발전기는 이 속도에 대하여 안전하게 되도록 설계한다. 일반적으로 정격 회전수 N과 NR과의 비 NR/N은 펠턴 수차에서는 1.8 프란시스 수차에서는 1.7~2.2 프로펠러수차에서는 2.2~3.2이다."
무정전전원장치 ,"無停電電源裝置, Uninterrupted Power Supply(UPS)","전자계산기, 화력발전소의 버너 자동제어 장치, 기타 생산공장의 주요 전기기기 등 정전이 되어서는 안될 부하들에 전원을 공급 하는 장치로, 회전기형과 정지형이 있다."
무효전력조정장치 ,"無效電力調整裝置, Automatic Var Regulator(AQR)","발전기의 무효전력을 일정치 또는 유효전력의 함수치로 자동제어하는 장치로 계통의 규모가 커지고 복잡화됨에 따라 송수전단에 대용량의 조정 설비가 필요하고 또 전력증가에 의해 송전단과 수전단 간의 무효전류가 증가하여 손실이 증가되므로 무효전력을 조절하여 송전선로 손실 감소, 조상설비의 절감을 기한다."
미측정손실 ,"未測定損失, Unmeasured Loss/ Res- idual Loss",설비의 성능계산시 측정이 어렵거나 측정에 많은 비용이 소요되어 직접 측정하지 않고 설계치 또는 특정치를 적용하는 손실을 말하며 일반적으로 손실량이 미소하다.
밀봉증기복수기 ,"密封蒸氣復水器, Gland Steam Condenser",글랜드로부터의 누설 증기를 응축시키는 복수기를 말한다.
밀폐급수가열기 ,"密閉給水加熱器, Closed Feedwater Heater",가열용 증기와 가열되는 급수가 직접 혼합되지 않도록 유로가 각각 구별되어 있는 급수가열기를 말한다.
미분탄저탄조 ,"微粉炭貯炭槽, Pulverized Coal Storage Bunker",미분기에서 분쇄된 미분탄을 버너에 공급하기 전에 일시적으로 저장시키는 저탄조로 간접 연소방식에서 사용된다.
바스켓 ,Basket,재생식 공기예열기에서 가열소자(Heating Element)를 넣는 케이스이다.
바이패스운전 ,"바이패스運轉, By-Pass Operation",주 계통을 통과 시키지 않고 바이패스 회로(측로/옆길)를 이용하여 운전하는 것이다.
방출안전장치 ,"放出安全裝置, Automatic Resetting Pressure Relief Device","절연유와 접하지 않는 변압기의 상부 판 또는 상부관에 부착되어 변압기 내에 이상압력이 발생시 일정 압력[10±1psi (0.7±0.07kg/㎠)]에 도달하면 방압막(Diaphragm)이 동작하여 이상압력을 외부로 방출시켜 변압기함의 파손을 방지한다. 방출안전장치는 방압관과는 달리 여러 번 동작하여도 다이아프람이 파손되지 않도록 강판으로 제작되며, 평상시 다이아프람을 눌러 주는 압축 스프링과 기밀유지를 위한 가스켓, 동작표시봉, 경보용 접점 등으로 구성되어 있다."
배기가스수증기손실 ,"排氣가스水蒸氣損失, Heat Loss Due to Moisture in Exhaust Gas","보일러에서 배가스 중의 수증기가 가지고 나가는 열량에 의한 손실로 저위발열량을 기준으로 하는 경우에는 수증기의 현열뿐이나, 고위발열량을 기준으로 하는 경우에는 여기에 물의 증발열이 가해진다."
배열회수사이클 ,"排列回收사이클, Exhaust Heat Recovery Cycle","가스터빈의 배기를 배열회수 보일러에 보내어 증기를 발생하고, 이 증기를 이용하여 증기터빈을 구동하는 조합사이클로 구성되며 복합사이클중 가장 단순한 사이클이다."
배압밸브 ,"背壓밸브, Back Pressure Regulating Valve",1차측의 유체압력을 어떤 일정압력으로 유지하기 위하여 1차측 압력의 변화에 따라 유체를 방출할 수 있는 자동조절 밸브
보어홀펌프 ,Bore Hole Pump,깊은 우물용 펌프의 일종으로 대개는 수직형 다단 터빈 펌프로서 지상에 전동기를 두고 긴 수직축으로 장치의 하부에 있는 날개차를 구동시키는 방식으로 빌딩의 잡용수용 펌프로 사용된다.
보일러동특성시험,"보일러動特性試驗, Boiler Dyna- mic Response Test","제어의 측면에서 본 보일러 자체의 과도적 특성을 조사하는 시험으로 시험신호로 계단입력 신호를 가하고 출력신호의 변화를 관찰한다. 시험목적 : 보일러의 각종 조작량을 단계적으로 변화시키면서 주증기온도, 압력 등 Process량의 과도적인 응답을 측정하여 보일러의 동적인 변화 상태를 파악하고 시험결과를 분석하여 이후 부하변동시험에 대한 APC 조정 자료로 활용한다. 시험결과는 부하변화시, 변화후 증기온도의 안정화를 도모하기 위한 연소량, S/H Spray 밸브, 가스댐퍼, R/H Bypass Spray 밸브 등의 조정에 유효하다. 시험방법 : APC 각 시스템을 자동으로 하고 해당되는 시스템을 수동으로 단계적 변화시켜 각 Process를 측정한다."
복수재순환밸브 ,"腹水再循環밸브, Condensate Re- circulation Valve",급수저장조의 수위가 높아 급수저장조에 송입되는 복수량이 적더라도 Steam Jet Ejector와 Gland Steam Condenser에 냉각용 복수량을 유지하기 위해 복수를 Hot Well로 재순환시키는 밸브이다.
복수기누설감지설비 ,"復水器漏泄感知設備, Circu- lating Water Leakage Detector","발전소는 복수기 냉각수로 해수를 사용하여 증기를 응축시키므로 복수기관 누설 해수유입으로 설비에 장해를 초래하므로 해수누설을 조기 감지하기 위하여 복수기의 부위별 수질을 측정하는 설비이다. 보통 전도도계를 사용하고, 전도도를 증폭시키기 위하여 양이온 교환수지를 통과시킨 후 측정한다."
볼밸브 ,Ball Valve,"간단한 역지밸브와 펌프밸브에 사용하여 구상의 회전체를 90 회전시켜 유체의 흐름을 전폐, 전개하는 코크의 일종으로 금속재의 회전상자 볼과 이에 대응하는 합성 고무, 합성 수지 등의 밸브좌로 만들어진다."
부분변압운전 ,"部分變壓運轉, Partial Sliding Pressure Operation",심야등 경부하시에 저부하영역에서의 운전이 많아짐에 따라 저부하시의 효율향상이 큰 과제로 이에 대한 대책으로 변압운전이 요구되고 있으며 보일러 및 터빈이 제작당시부터 기저발전용으로 된 설비에서 보일러 증기 압력을 정격치보다 낮추어 운전함으로서 변압운전시와 같은 효과로 종합열효율향상을 도모하는 운전방식이다.
분사식과열저감기 ,"噴射式過熱低減器, Spray Att- emperator/Spray Type Desuperheater",과열증기의 온도 조절장치의 일종으로 고온의 증기 중에 저온의 물을 직접 분사하여 과열증기의 온도를 직접 저하시키는 장치로 보통 1차 과열기와 2차 과열기 사이의 헤더 연결관 및 재열기 입구에 설치되며 분사되는 물은 보일러 급수펌프 출구나 중간단에서 빼내어 사용한다.
불완전연소가스손실/미연가스손실 ,"不完全燃燒가스損失/未然가스損失, Heat Loss due to Unburned Gas","보일러에서 연소조건이 부적합하여 연료의 가연성분중 일부가 미연가스상태로 배출되어 유효열량이 감소되어 발생하는 열손실로 일산화탄소(CO), 미연수소(H), 미연탄화수소(HC) 및 그을음 등이 있다."
비중앙급전발전기 ,"非中央給電發電機, Non-sche- duled Generator",전력거래소의 급전지시에 따르지 않고 운전할 수 있는 발전기로서 ‘중앙급전발전기’가 아닌 발전기를 말함.
상용주파수 ,"商用周波數, Commercial Cycle","전기는 교류 또는 직류형태로 사용할 수 있으나 상용(商用) 전력은 전압변환이 용이하고, 대규모 발전이 용이한 장점 등이 있기 때문에 어느 국가에서나 교류방식을 채택하고 있다. 상용 주파수는 교류의 주파수로서 우리나라는 우리나라는 60㎐를 사용하고 있다. 교류의 주파수는 각 국가별로 상이한데 미국지역에서는 60㎐를 사용하는 반면, 유럽지역은 50㎐를 사용하고 있으며 일본도 50㎐를 사용하고 있다."
서지 ,Surge,"급격한 전압 또는 전류의 변화로 전력계통에 서지가 발생하는 경우는 주로 뇌(雷)에 의한 것, 계통조작에 의한 것, 계통사고에 의한 것이 있다. 서지 전압이 발생하면 변압기에 과도한 충격전압이 흐르게 되므로 이를 보호하기 위하여 탭 권선, 고압권선, 저압권선의 각 단자 사이에 비선형 충격전압흡수기(Nonlinear Surge Absorber)를 설치한다. 이는 평상시에는 대단히 높은 임피던스를 가지나 일정전압을 상회하는 전압이 인지되면 임피던스 값이 비선형 특성에 따라 감소하게 되며 임피던스가 감소함에 따라 권선에 흐르는 이상전압은 충격전압 흡수기에 주로 걸리게 되어 권선의 절연을 확보할 수 있다."
석탄혼소율 ,"石炭混燒率, Coal Mixing Ratio",석탄과 다른 연료를 혼소하는 보일러에서 총보일러 입열에 대한 석탄분 열량의 비율이다.
석회석공급장치 ,"石灰石供給裝置, Limestone Fee- der",석회석 Silo로부터 Screw Feeder로 연료 공급배관을 통하여 연소로 하부에 석회석을 공급하는 장치로 순환유동층 보일러는 별도의 탈황설비 없이 석회석을 연소로 내부로 직접 투입하여 SOx의 발생을 차단 할 수 있다.
석탄회부식 ,"石炭灰腐蝕, Coal Ash Corrosion",석탄의 회성분 중에서 Corrosion을 일으킬 성분이 따로 유리되어 존재하고 있지 않으나 약 600∼700℃의 Metal 온도범위에서 Complex Alkali Sulphate가 현저히 증가하여 액상부식이 일어나는 것을 말하며 가스온도가 상승하면 부식은 증가한다.
선로정수 ,"線路定數, Line Constant","전선(電線)은 저항, 인덕턴스, 정전용량, 누설 콘덕턴스의 특성이 내포되어 있는 전기회로이며, 전선이 내포하고 있는 이러한 4가지 특성을 선로정수라고 한다. 선로정수는 전선의 종류, 굵기, 재질에 따라서 정해지며 전압과 전류, 기온 등에는 영향을 받지 않는다. 그러나 동일한 규격의 전선이라도 송전선로가 설치된 지리적 여건, 송전선로에서의 전류 밀도차 등에 의하여 송전선로별 특성이 상이하게 나타나게 되므로 선로정수를 이용하여 전압, 전류의 관계, 전압강하, 송수전단의 전력량 등 송전선로별 특성을 계산하게 된다. "
설계품질 ,"設計品質, Quality of Design","설계품질은 이용자의 요구에 대응하여 기업이 결정한 품질이며 실현 가능하게 목표된 품질을 말한다. 설계품질의 양부(良否)는 그 기업의 장래도 좌우하며, 이를 결정하는 최종 책임은 경영자에게 있으나 경영자의 노력과 함께 기업 내외의 올바른 정보를 전하고 복수(複數)의 제안을 통해 평가기준을 마련하는 스텝의 활동이 중요하다. 이용자가 제품의 기능으로서 요구하는 품질을 사용품질이라고 하며, 설계품질은 제일주의로 이 사용품질을 지향해야 한다. 한편 기업은 이 사용품질 속에 독창성이 있고 차별화된 품질의 제품시장에 공급해야 하며 이것을 경쟁품질이라 한다."
소내소비율(전력율),"所內消費率(電力率), Auxiliary Power Ratio",발전 전력량에 대한 소내 전력량의 비율로 일반적으로 보조기의 형식에 따라 다르나 발전기 출력의 5% 정도이다.
수소에너지,Hydrogen Energy,"수소에너지란 수소의 형태로 에너지를 저장하고 사용할 수 있도록 한 신재생에너지이다. 수소는 연소시켜도 산소와 결합하여 다시 물로 환원되므로 배기가스로 인한 환경오염이 없기 때문에 수소가스의 제조, 저장, 사용의 각 단계에서 새로운 기술이 개발되고 있다. 수소는 물을 전기분해하면 쉽게 얻어지나 발전효율은 최고 40%정도이고, 열에너지의 약 30%만이 수소에너지로 전환된다. 그래서 효율을 올리는 방법으로 열화학 분해법이 적용되고 있다. 이것은 화학반응의 평형이 온도에 따라서 깨지는 점을 이용하여 온도가 다른 2개의 열원을 사용해서 물을 분해하는 방법이다. 수소 가스의 저장법으로는 금속 산화물에 흡착시키는 방법이 가장 유망하다. 마그네슘을 비롯하여 금속 중에는 수소를 잘 흡수하는 금속수산화물이 들어 있는데, 이를 수소저장합금이라고 한다. 이 합금은 일정량의 열을 가해서 압력을 감소시키면 흡수한 수소를 다시 방출하는 성질이 있다. 따라서 수소를 잘 흡수하는 금속분말에 흡착시켜 수송하거나 저장하기란 그리 어려운 문제가 아니다. 이 방법을 쓰면 가스를 저장하는 경우보다 1/3~1/5정도로 부피를 줄일 수 있고, 폭발될 염려도 없다. 수소에너지는 주로 연료전지(Fuel Cell)를 써서 사용한다. 연료전지는 연료에너지를 전기에너지로 변화시킬 때 연료와 공기를 전극 표면에서 산화반응시켜 그 반응에 따라 얻어지는 화학에너지를 직접 전기에너지로 변화하는 것이다. 화학에너지를 일단 열에너지로 변화시키므로 열기관을 사용하여 전기에너지로 바꾸는 보통의 발전방식에 비해서 간단하고 효율적이다. 수소에너지는 석유를 연료로 삼는 모든 엔진과 석유를 열원으로써 쓰는 모든 연료분야에서 사용할 수 있다. 이미 1956년에 액체수소를 로켓 연료로 사용하기 위한 연구가 시작되었고, 아폴로 우주선의 새턴5형 로켓, 스페이스셔틀에서는 엔진용 연료로서 실용화되었다. 수소에너지를 이용한 수소자동차ㆍ수소비행기도 각국에서 경쟁적으로 개발하고 있으나, 아직 수소의 가격이 비싸 실용화 단계는 시일이 걸릴 것으로 전망되고 있다."
수소취화,"水素脆化, Hydrogen Embrittlement","고온, 고압의 증기가 강관과 접촉하면 수소를 발생하는데 이 수소가 재료중의 탄소와 반응하여 Methance으로 되면서 탄소를 소모하여 점차 입계를 따라 관통, 침입하면서 부식되는 현상을 말한다."
수소혼소발전,Hydrogen Co-firing,가스터빈에서 수소와 천연가스를 함께 태워 전기를 생산하는 방식. 기존 액화천연가스(LNG) 발전소보다 이산화탄소 배출량을 획기적으로 줄일 수 있다는 평가를 받는다. LNG 발전소의 오래된 가스터빈을 적은 비용으로 개조해 사용할 수 있는 것도 장점으로 꼽힌다.
순환속도 ,"循環速度, Circulation Velocity","보일러수가 순환되는 속도, 보통 증발관 입구에서의 속도를 말하며 증발관의 과열을 방지하기 위하여 자연순환 보일러는 0.5∼1m/sec이상 강제순환 보일러는 1.5∼2m/sec이상 되도록 설계된다."
슬래그 ,Slag,석탄이 노내에서 연소할 때 용융된 회분이 복사열을 받는 화로벽 및 전열면에 부착하여 응고 퇴적한 것으로 열전달을 방해한다.
습손실 ,"濕損失, Moisture Loss","저압터빈과 같이 포화증기를 사용하는 열기관의 팽창과정에서 증기조건이 포화선 이하의 상태로 되면 증기속의 작은 물방울이 생기며 이 물방울은 증기와 비중차이가 있어 증기의 흐름과는 다른 유동을 하므로 증기에 대한 제동작용 및 회전익 입구에 있어서 배면충돌을 일으키는 손실작용을 하는데 이 현상을 습손실이라한다. 경험적으로는 어떤 단에서 증기의 평균습도(Wt)가 1％ 증가시마다 단락효율은 1.2∼0.7％정도 저하하며 습손실량(AZ)은 다음과 같다. AZ=(1.2-0.7) Wt × ho [Kcal/Kg], ho는 단열 열낙차 "
승압펌프 ,"昇壓펌프, Booster Pump",송수관로의 도중에 설치하여 송수량을 증대시키는 것 등을 목적으로 하는 가압용 펌프이다.
신더 ,Cinder,석탄 등 연료가 타다 남은 찌꺼기로서 입자모양이 다각형이며 절탄기 및 공기예열기의 밑 Cyclone 등에서 포집된다
